Grado,Apellido paterno ,Apellido Materno,Nombre,Nivel ,Institución de adcripción ,Área de conocimiento
DR.,GUTIERREZ,AGUILAR,ALEJANDRO,1,TECNOLOGICO NACIONAL DE MEXICO,Área II: Biología y Química
DR.,BUGANZA,TORIO,JACOB,2,UNIVERSIDAD VERACRUZANA,Área IV: Humanidades y Ciencias de la Conducta
DR.,GUZMAN,FRANCO,ARIEL WILBERT,1,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,MORALES,BARCENAS,JOSE HECTOR,1,UNIVERSIDAD AUTONOMA METROPOLITANA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,HORLEY,,PAUL,2,"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,LAGUARDA,RUIZ,RODRIGO,1,INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,Área IV: Humanidades y Ciencias de la Conducta
DR.,ARTEAGA,VAZQUEZ,MARIO ALBERTO,1,UNIVERSIDAD VERACRUZANA,Área II: Biología y Química
DR.,ESCOBEDO,BRETADO,MIGUEL ANGEL,1,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,Área VII: Ingenierías
DR.,AQUINO,JARQUIN,GUILLERMO,1,HOSPITAL INFANTIL DE MEXICO DR. FEDERICO GOMEZ,Área II: Biología y Química
DR.,MERCADO,ACA,FRANCISCO SALVADOR,1,INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ,Área III: Medicina y Ciencias de la Salud
DR.,BONALES,ALATORRE,EDGAR OCTAVIO,1,UNIVERSIDAD DE COLIMA,Área II: Biología y Química
DR.,CENTENO,CRUZ,FEDERICO,1,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área II: Biología y Química
DR.,SALCEDA,RUANOVA,JOSE EMILIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área III: Medicina y Ciencias de la Salud
DRA.,MACEDO,MIRANDA,MA. GUADALUPE,1,TECNOLOGICO NACIONAL DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
MED.,SIERRA,SALAZAR,MAURICIO,1,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,Área III: Medicina y Ciencias de la Salud
DRA.,VALLE,DELGADILLO,YEMINIA MARIBEL,1,UNIVERSIDAD DE GUADALAJARA,Área III: Medicina y Ciencias de la Salud
DR.,AGUILAR,ORTEGA,TEODORO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: Ciencias Sociales
DR.,AGUILAR,JIMENEZ,OSCAR ALEJANDRO,1,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Área VI: Biotecnología y Ciencias Agropecuarias
DRA.,GONZALEZ,MOTA,MA. ROSARIO,1,TECNOLOGICO NACIONAL DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,GONZALEZ,HINOJOSA,ROBERTO ANDRES,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DRA.,GOMEZ,GOMEZ,ELBA NOEMI,1,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,Área IV: Humanidades y Ciencias de la Conducta
DR.,MENDEZ,CRUZ,ADOLFO RENE,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: Medicina y Ciencias de la Salud
DR.,MARTINEZ,MATA,GUILLERMO,1,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,Área III: Medicina y Ciencias de la Salud
DR.,KOBELKOWSKY,DÍAZ,ABRAHAM,1,UNIVERSIDAD AUTONOMA METROPOLITANA,Área II: Biología y Química
DR.,FLORES,FLORES,JOSÉ OCOTLÁN,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,FILGUEIRAS,NODAR,JOSÉ MARÍA,1,UNIVERSIDAD DEL MAR,Área IV: Humanidades y Ciencias de la Conducta
DRA.,GUERRA,CRESPO,MAGDALENA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DRA.,ALVARADO,OLIVAREZ,MAYVI,1,UNIVERSIDAD VERACRUZANA,Área II: Biología y Química
DRA.,GUERECA,HERNANDEZ,LEONOR PATRICIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,JIMENEZ,MORALES,SILVIA,1,INSTITUTO NACIONAL DE MEDICINA GENOMICA,Área III: Medicina y Ciencias de la Salud
DRA.,BARRERA,GARCIA,VERONICA DANIELA,1,"UNIVERSIDAD DEL CLAUSTRO DE SOR JUANA, A.C.",Área VI: Biotecnología y Ciencias Agropecuarias
DR.,GUERRERO,CASTELLANOS,JOSE FERMI,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VII: Ingenierías
DR.,LICONA,MICHEL,ÁNGEL,1,UNIVERSIDAD DE COLIMA,Área V: Ciencias Sociales
DRA.,GOMEZ,GALLARDO,PERLA,1,COMISION DE DERECHOS HUMANOS DEL DISTRITO FEDERAL,Área V: Ciencias Sociales
DRA.,SAUCEDO,SALAZAR,ESMERALDA MONSERRAT,1,CENTRO DE INVESTIGACION EN QUIMICA APLICADA,Área VII: Ingenierías
DR.,MERAZ,MELO,MARCO ANTONIO,1,TECNOLOGICO NACIONAL DE MEXICO,Área VII: Ingenierías
DRA.,HERNANDEZ,GARCIA,MARIA AIDE,1,UNIVERSIDAD DE GUANAJUATO,Área V: Ciencias Sociales
DR.,STEVENS,NAVARRO,ENRIQUE,1,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Área VII: Ingenierías
DR.,CARDENAS,DENHAM,SERGIO,1,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",Área V: Ciencias Sociales
DR.,PINEDA,RICO,ULISES,1,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Área VII: Ingenierías
DR.,AVILA,RODRIGUEZ,MIGUEL ANGEL,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,VILLANUEVA,ESTRADA,RUTH ESTHER,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
MED.,MORALES,VASQUEZ,FLAVIA,1,INSTITUTO NACIONAL DE CANCEROLOGIA,Área III: Medicina y Ciencias de la Salud
DR.,RAMIREZ,ARREOLA,DANIEL EDEN,1,UNIVERSIDAD DE GUADALAJARA,Área VII: Ingenierías
DR.,TORRES,PUGA,GABRIEL,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: Humanidades y Ciencias de la Conducta
DR.,FLORES,ORTEGA,MIGUEL,1,INSTITUTO POLITECNICO NACIONAL,Área V: Ciencias Sociales
DR.,BARRERA,HERNANDEZ,DAVID,2,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,Área III: Medicina y Ciencias de la Salud
DR.,MENDEZ,GONZALEZ,JORGE,1,UNIVERSIDAD AUTONOMA AGRARIA ANTONIO NARRO,Área VI: Biotecnología y Ciencias Agropecuarias
DRA.,SÁNCHEZ,PEÑA,LANDY LIZBETH,2,"EL COLEGIO DE MEXICO, A.C.",Área V: Ciencias Sociales
DR.,ARTEAGA,VELAZQUEZ,JUAN CARLOS,1,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,GUADARRAMA,GUADARRAMA,ROSALINDA,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DR.,BALDERRAMA,ARMENDARIZ,CESAR OMAR,1,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,Área IV: Humanidades y Ciencias de la Conducta
DR.,ROJAS,GONZÁLEZ,RAUL,3,Sin información ,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,ACEVES,QUESADA,JOSE FERNANDO,1,UNIVERSIDAD AUTONOMA METROPOLITANA,Área I: Físico-Matemáticas y Ciencias de la Tierra
MED.,GARIBAY,NIETO,GUADALUPE NAYELY,1,SECRETARIA DE SALUD,Área III: Medicina y Ciencias de la Salud
DR.,SANTILLAN,MENDEZ,ISRAEL MARCOS,1,TECNOLOGICO NACIONAL DE MEXICO,Área VII: Ingenierías
DRA.,TORRES,PEREZ,MARIA ELENA,2,UNIVERSIDAD AUTONOMA DE YUCATAN,Área IV: Humanidades y Ciencias de la Conducta
DR.,SALAZAR,MENDOZA,DOMINGO,1,UNIVERSIDAD TECNOLOGICA DE LA MIXTECA,Área II: Biología y Química
DRA.,LÓPEZ,TORRES,VIRGINIA GUADALUPE,1,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Área V: Ciencias Sociales
DRA.,AMORIM,CLARO DE CASTRO,ELGA FILIPA,2,INSTITUTO NACIONAL DE SALUD PUBLICA,Área IV: Humanidades y Ciencias de la Conducta
DR.,MENDOZA,MALDONADO,RAMIRO,1,INTERNATIONAL CENTRE FOR GENETIC ENGINEERING AND BIOTECHNOLOGY,Área II: Biología y Química
DRA.,ESTURAU,ESCOFET,NURIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DRA.,OROZCO,VALERIO,MARÍA DE JESÚS,1,UNIVERSIDAD DE GUADALAJARA,Área V: Ciencias Sociales
DRA.,HERNÁNDEZ,GUERRERO,MARIBEL,1,UNIVERSIDAD AUTONOMA METROPOLITANA,Área VII: Ingenierías
DR.,HERNANDEZ,GONZALEZ,JOAQUIN,1,UNIVERSIDAD PEDAGOGICA NACIONAL,Área IV: Humanidades y Ciencias de la Conducta
DR.,PEÑALOZA,MEJÍA,OLLIN,1,INSTITUTO TECNOLOGICO DE SONORA,Área VII: Ingenierías
DR.,GUTIERREZ,LOMELI,MELESIO,1,UNIVERSIDAD DE GUADALAJARA,Área II: Biología y Química
DR.,MARTIN DEL CAMPO,RAMIREZ,JORGE,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,HERNANDEZ,PEREZ,JULIO MANUEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,MARQUINA,CASTILLO,BRENDA NOEMI,1,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,Área II: Biología y Química
DR.,VIDAURRI,ARÉCHIGA,MANUEL,1,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.",Área V: Ciencias Sociales
DRA.,NIETO,CASTILLO,GABRIELA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área V: Ciencias Sociales
DRA.,AGUILAR,TIPACAMU,GABRIELA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,ANGULO,VALADEZ,CARLOS ELIUD,1,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE, S.C.",Área VI: Biotecnología y Ciencias Agropecuarias
DR.,GALVEZ,COYT,GONZALO,1,INSTITUTO POLITECNICO NACIONAL,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,CHAVARRIA,HERNANDEZ,JUAN CARLOS,1,"CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN, A.C.",Área VII: Ingenierías
DRA.,PEREZ,DANIEL,MYRIAM REBECA,1,UNIVERSIDAD DE COLIMA,Área IV: Humanidades y Ciencias de la Conducta
DRA.,AMAYA,NAVARRO,MARIA AMALIA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DR.,HERRERA,HERNANDEZ,HECTOR,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Área VII: Ingenierías
DR.,CALLEJAS,HERNÁNDEZ,CÉSAR BENEDICTO,1,"ORGANIZACION ORT DE MEXICO, I.A.P.",Área V: Ciencias Sociales
DRA.,HALLEY,CASTILLO,MARIA ELIZABETH,1,SECRETARIA DE SALUD,Área III: Medicina y Ciencias de la Salud
DR.,NAVA,BRAVO,HECTOR HUGO,1,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,Área II: Biología y Química
DR.,ACOSTA,COLLAZO,ALEJANDRO,1,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,Área IV: Humanidades y Ciencias de la Conducta
DRA.,HERNANDEZ,CORDERO,SONIA LIZETH,1,INSTITUTO NACIONAL DE SALUD PUBLICA,Área III: Medicina y Ciencias de la Salud
DR.,VILLAGOMEZ,OJEDA,CARLOS JAVIER,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,RIVERO,FUENTES,MARIA ESTELA,1,SOCIEDAD MEXICANA DE DEMOGRAFIA,Área V: Ciencias Sociales
DR.,MONTALVO,JAVE,EDUARDO,2,SECRETARIA DE SALUD,Área III: Medicina y Ciencias de la Salud
DR.,CARMONA,RODRIGUEZ,JULIAN JAVIER,1,UNIVERSIDAD TECNOLOGICA DE LA MIXTECA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DRA.,CASTELAN,VEGA,ROSALIA DEL CARMEN,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: Biotecnología y Ciencias Agropecuarias
DRA.,QUINTERO,ROMERO,DULCE MARÍA,1,UNIVERSIDAD AUTONOMA DE GUERRERO,Área V: Ciencias Sociales
DRA.,RODRÍGUEZ,GONZÁLEZ,YLIANA,1,"EL COLEGIO DE SAN LUIS, A.C.",Área IV: Humanidades y Ciencias de la Conducta
DR.,RIVAS,CARRILLO,JORGE DAVID,2,UNIVERSIDAD DE GUADALAJARA,Área III: Medicina y Ciencias de la Salud
DR.,MUÑOZ,VEGA,RODRIGO,1,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,GONZALEZ,COMPEAN,JOSE LUIS,1,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área VII: Ingenierías
DR.,ROMERO,TREJO,HUGO,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Área VII: Ingenierías
DR.,GAMIÑO,ARROYO,ZEFERINO,1,UNIVERSIDAD DE GUANAJUATO,Área VII: Ingenierías
DRA.,SANCHEZ,CASTILLO,ARIADNA,1,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Área I: Físico-Matemáticas y Ciencias de la Tierra
